uuid,rent_cost_yuan_per_ha,sowing_cost_yuan_per_ha,irrigation_device_cost_yuan_per_ha,irrigation_running_cost_yuan_per_ha,fertilization_cost_yuan_per_ha,pesticide_cost_yuan_per_ha,total_cost_yuan_per_ha,yield_kg_per_ha
a4e6021d-01cc-480f-92aa-44a381b948d1,15000.0,1065.0,0.0,388.2,2145.0,401.25,18999.45,10181.849999999999
9588a630-dcac-4a7a-a355-b1ababc871fc,7500.0,1002.0,2904.6,695.4,3165.0,548.85,15815.85,8286.6
07b98797-9084-4003-bcab-9a251ae4b052,12000.0,1275.0,1500.0,300.0,3000.0,150.0,18225.0,10083.0
3e22d0a9-3bc8-40d5-93a4-cdf72f08fb63,16500.0,1350.0,2100.0,0.0,3300.0,165.0,23415.0,8722.35
62ae1eec-313b-4b9c-9710-199a79074029,18000.0,1275.0,975.0,570.0,2970.0,172.5,23962.5,8552.699999999999
c31095f7-edbc-4010-ba9d-75603910db44,14250.0,1320.0,1500.0,255.0,1950.0,0.0,19275.0,13681.050000000001
2ee40cba-4200-4a61-8997-b0e6587187ac,13050.0,1800.0,1365.0,300.0,3000.0,600.0,20115.0,7861.35
196688ae-2178-4522-a5a2-5caa160c521c,15000.0,1051.5,0.0,646.35,2475.0,588.75,19761.6,9516.15
0f115ab9-06a4-4b27-a41a-483ee20ac27d,15000.0,1215.0,1005.0,337.5,1800.0,498.00000000000006,19855.5,9711.3
fcde1a9e-a852-4c9f-a23c-b153a5d5641d,18000.0,1275.0,975.0,570.0,2970.0,172.5,23962.5,10721.849999999999
2b5ccf7b-25a1-4c61-87ef-a516538d838e,18000.0,1275.0,975.0,570.0,2970.0,172.5,23962.5,10753.8
80fb4f72-39d8-4b19-ac53-e5176181dcb3,16500.0,1350.0,2100.0,0.0,3300.0,165.0,23415.0,7105.8
1c3ea23e-49b4-4e87-aa37-db1711dfaa87,11400.0,1800.0,1365.0,300.0,3000.0,600.0,18465.0,7265.55
4b0e1e13-89dd-4b88-9965-362d4702edcb,15000.0,1051.5,0.0,646.35,2475.0,588.75,19761.6,9653.85
0f1a2089-5b02-4b6b-9d82-d40dc0741730,13500.0,1006.4999999999999,1601.1,219.14999999999998,2957.25,812.8499999999999,20096.85,9790.5
c648e286-54e5-4658-b7a1-efd2257902f4,10500.0,1224.15,1225.2,689.85,2328.75,269.25,16237.2,9502.5
e098402a-6893-4ce9-9fa0-74c358966c8a,12000.0,1350.0,1800.0,0.0,2475.0,480.0,18105.0,10056.900000000001
