uuid,sowing_cost_yuan_per_ha,irrigation_device_cost_yuan_per_ha,irrigation_running_cost_yuan_per_ha,fertilization_cost_yuan_per_ha,total_cost_yuan_per_ha
4c6ecc0a-f0de-4ee0-a9d5-f06cebf33112,1065.0,0.0,388.2,2145.0,11499.45
9588a630-dcac-4a7a-a355-b1ababc871fc,1002.0,2904.6,695.4,3165.0,12065.85
07b98797-9084-4003-bcab-9a251ae4b052,1275.0,1500.0,300.0,3000.0,12225.0
3e22d0a9-3bc8-40d5-93a4-cdf72f08fb63,1350.0,2100.0,0.0,3300.0,15165.0
62ae1eec-313b-4b9c-9710-199a79074029,1275.0,975.0,570.0,2970.0,14962.5
c31095f7-edbc-4010-ba9d-75603910db44,1320.0,1500.0,255.0,1950.0,12150.0
2ee40cba-4200-4a61-8997-b0e6587187ac,1800.0,1365.0,300.0,3000.0,13590.0
db2ea84c-2f30-4578-9879-394d632fdac4,1051.5,0.0,646.35,2475.0,12261.6
0f115ab9-06a4-4b27-a41a-483ee20ac27d,1215.0,1005.0,337.5,1800.0,12355.5
fcde1a9e-a852-4c9f-a23c-b153a5d5641d,1275.0,975.0,570.0,2970.0,14962.5
2b5ccf7b-25a1-4c61-87ef-a516538d838e,1275.0,975.0,570.0,2970.0,14962.5
80fb4f72-39d8-4b19-ac53-e5176181dcb3,1350.0,2100.0,0.0,3300.0,15165.0
1c3ea23e-49b4-4e87-aa37-db1711dfaa87,1800.0,1365.0,300.0,3000.0,12765.0
196688ae-2178-4522-a5a2-5caa160c521c,1051.5,0.0,646.35,2475.0,12261.6
0f1a2089-5b02-4b6b-9d82-d40dc0741730,1006.4999999999999,1601.1,219.14999999999998,2957.25,13346.849999999999
ff6e11b3-2763-4c81-b61a-765129d97b2c,1224.15,1225.2,689.85,2328.75,10987.2
e098402a-6893-4ce9-9fa0-74c358966c8a,1350.0,1800.0,0.0,2475.0,12105.0
c94d52c0-6519-4ab1-b981-7abb78447f69,1800.0,1365.0,300.0,3000.0,14490.0
d37fe32c-f5bd-4992-afdd-59bb774a4e3d,1425.0,2250.0,379.34999999999997,2100.0,14659.349999999999
b7f6292b-c17c-4004-b4da-cb87ff2b3ae9,1082.1,1942.5,367.5,1800.0,11096.1
0e7e8a61-fe43-4cbb-ace3-d2cedae31fea,1113.0,0.0,453.59999999999997,2343.75,11811.6
4b0e1e13-89dd-4b88-9965-362d4702edcb,1021.4999999999999,0.0,920.55,1875.0,7995.749999999999
2b8121e5-cb2b-4216-97bc-5cc8563ff947,1140.0,0.0,0.0,3718.2,12358.2
201ed499-a856-4172-b03b-7ce98cd248f5,1725.0,2250.0,0.0,2925.0,14700.0
9b1a3bad-5894-41c9-9925-7ce08670cd3e,1500.0,2250.0,0.0,2925.0,14295.0
77c842b9-6e80-48b9-b0e5-e7cf6938c438,1350.0,1800.0,0.0,2475.0,12105.0
2ae05f06-77eb-45b9-8d6b-354bcfdd3416,990.0,450.0,255.0,2265.0,12105.0
e67e73a4-9c32-4c2f-8f53-75f245bfb09a,1219.95,1249.95,765.0,1800.0,11172.9
48217b75-95e5-4ead-8d82-9a8ff8b84a7b,1018.5000000000001,308.7,358.05,2145.0,11837.25
09027d11-aa99-4055-a2da-7ddd5a4311d0,1023.0,4320.0,1200.0,2160.0,13144.95
5a102f40-48a8-4098-83ec-3f4751eaba28,1470.0,1425.0,510.0,2925.0,10451.25
0be71325-43cc-40a0-88a2-6de389d7dfa4,1470.0,1425.0,510.0,2437.5,9963.75
8656d5d4-7754-4885-9413-632600896c65,1500.0,0.0,0.0,2100.0,8550.0
9d68cbf6-ba62-4456-9874-8e1bef95d25f,1500.0,0.0,0.0,2100.0,8550.0
70c4cde2-3bc3-46e1-a2f1-8ed38af2e9b6,1140.0,0.0,0.0,1275.0,9915.0
d172b906-253e-4ec4-8d9f-071d7a5c4da3,1305.0,0.0,0.0,2819.25,10865.4
15628938-dc1c-44c8-ae11-6fff6c4247a2,1350.0,2100.0,0.0,3300.0,15165.0
6298dce3-29b5-4cfa-9af2-d53ec255c0f6,1170.0,450.0,255.0,2265.0,12285.0
7a7e033a-0b15-4681-9bb1-866861238308,1650.0,0.0,0.0,2700.0,9975.0
c797d3ab-aab0-457d-823c-5fa6f9afad0d,1260.0,0.0,0.0,2819.25,10820.4
6cedb50a-8f59-445e-bfa1-05bb0ad2aff5,1260.0,0.0,0.0,2819.25,10070.4
7bed8669-4f0e-4931-be21-82fb77a658e5,1260.0,0.0,0.0,2819.25,8570.4
c6def630-aa7a-4169-b374-be8c2edf0d8b,1260.0,0.0,0.0,2819.25,11570.4
