uuid,Region,Sow_DOY,Density,Fer_N,Fer_P,Fer_K,Fer_Count,Pest_Count,Pest_Cost,Irr_Count,Irr_Elec,Irr_Sprinkler,Irr_None,Irr_Drip,Irr_Flood,Lodging,Precip,Rad,RH,Wind,Yield
03b37123-956c-49e2-900e-f9c2ef17acd9,0,177,62160,189,40.5,40.5,1,1,384.75,1,332.55,0,0,1,0,8,499,1548.83,78.61,6.7,10711.35
07b98797-9084-4003-bcab-9a251ae4b052,1,169,73020,128.25,128.25,128.25,1,1,150,1,401.85,0,0,1,0,19,525.4,1883.09,73.57,8.77,10083
09027d11-aa99-4055-a2da-7ddd5a4311d0,0,160,54255,246.645,42.525,51.03,1,2,804.75,2,525,1,0,0,0,24,547.8,1887.07,73.89,8.33,9814.05
0be71325-43cc-40a0-88a2-6de389d7dfa4,1,169,64875,165,75,60,1,1,371.25,2,600,0,0,1,0,0,446.9,1884.39,75.01,8.42,12831
0de8653e-b943-415d-b32b-995e91e22e6d,1,169,73635,202.5,40.5,81,1,0,0,1,300,0,0,1,0,0,537.7,1871.85,74.64,7.57,11232.75
0e7e8a61-fe43-4cbb-ace3-d2cedae31fea,0,166,53730,195,37.5,90,1,1,401.25,1,407.55,0,0,0,1,0,505.4,1770.23,75.27,8.33,8590.95
0f115ab9-06a4-4b27-a41a-483ee20ac27d,0,165,50385,150,30,30,1,2,498,1,244.5,1,0,0,0,0,547.4,1778.79,75.35,8.33,9711.3
0f1a2089-5b02-4b6b-9d82-d40dc0741730,0,166,58275,275.625,37.5,106.125,2,2,812.85,1,199.65,1,0,0,0,10,505.4,1770.23,75.27,8.33,9790.5
0fc95e62-57a6-40fb-887e-9bce7fc3dbde,1,162,68400,252,54,54,1,0,0,2,675,0,0,1,0,0,486.7,2029.16,73.1,7.69,13128.15
1353fe97-d013-4582-8382-7402401fe645,1,168,78480,128.25,128.25,128.25,1,1,150,1,401.85,0,0,1,0,32,525.4,1905.87,73.2,8.77,8526.75
1447714a-71ff-464f-990b-afe34e3372f4,0,161,56205,217.5,37.5,45,1,2,507,3,1231.8,0,0,0,1,18,547.8,1866.06,74.09,8.33,9427.2
