feature,x_value,shap_value
Density,62160,537.16693
Density,73020,595.678
Density,54255,-815.97296
Density,64875,687.2606
Density,73635,640.5556
Density,53730,-797.3741
Density,50385,-718.55756
Density,58275,-604.4931
Density,68400,664.4726
Density,78480,461.60635
Density,56205,-829.4962
Density,95925,354.16177
Density,54870,-862.14044
Density,68880,635.49945
Density,57255,-725.32324
Density,56310,-727.3449
Density,59325,238.69188
Density,59745,146.66125
Density,60180,206.60942
Density,57285,-840.8393
Density,81015,417.28015
Density,64815,440.39505
Density,56535,-847.5021
Density,60000,136.07419
Density,50955,-588.1027
Density,100935,361.2413
Density,54525,-655.4052
Density,67005,582.5302
Density,67065,713.36896
Density,54930,-738.5513
Density,77880,533.21387
Density,55905,-745.3824
Density,67485,738.3802
Density,66945,518.4845
Density,53565,-756.04114
Density,67230,600.46454
Density,59325,133.8236
Density,74970,546.82074
Density,56070,-876.4268
Density,83940,417.28015
Density,50550,-727.3782
Density,68220,475.4649
Density,73440,548.405
Density,56700,-696.02844
Density,65220,463.42422
Density,53385,-718.3896
Density,52530,-591.4476
Density,68790,512.0713
Density,103455,354.16177
Density,70455,676.49567
Density,58620,-701.4201
Density,62505,669.6508
Density,61425,518.4012
Density,58830,-553.96747
Density,57675,-563.5364
Density,78435,417.28015
Density,63420,461.8641
Density,93870,407.27084
Density,81960,444.38104
Density,53865,-638.3272
Density,72465,595.678
Density,55605,-704.7306
Density,64680,625.3454
Density,61290,562.04913
Density,56595,-876.3616
Density,54945,-793.1709
Density,64470,548.5431
Density,50070,-600.66046
Density,95835,454.92685
Density,56685,-894.1514
Density,57840,-545.15906
Density,76725,533.25867
Density,63090,699.6772
Density,61710,557.1438
Density,49800,-728.2014
Density,75735,581.2903
Density,80715,318.2055
Density,53355,-729.6652
Density,51555,-700.8
Density,66330,575.2895
Density,74550,529.1689
