feature,x_value,shap_value
Fer_K,40.5,-44.40172
Fer_K,128.25,-298.22485
Fer_K,51.03,-42.593433
Fer_K,60.0,28.673927
Fer_K,81.0,184.60083
Fer_K,90.0,145.398
Fer_K,30.0,-54.697598
Fer_K,106.125,-135.19885
Fer_K,54.0,12.793607
Fer_K,128.25,-298.22485
Fer_K,45.0,-43.80996
Fer_K,117.0,-304.1618
Fer_K,60.0,17.425404
Fer_K,67.5,204.02328
Fer_K,66.0,67.32724
Fer_K,108.0,-305.4889
Fer_K,75.0,178.813
Fer_K,97.5,-56.959534
Fer_K,40.5,-48.807404
Fer_K,75.0,169.2175
Fer_K,82.5,176.1872
Fer_K,112.125,-294.13828
Fer_K,90.0,156.64418
Fer_K,108.0,-331.29294
Fer_K,60.0,11.994878
Fer_K,117.0,-304.854
Fer_K,60.0,17.028122
Fer_K,60.0,24.190048
Fer_K,90.0,145.55792
Fer_K,66.0,65.19675
Fer_K,81.0,188.30493
Fer_K,51.75,-49.604263
Fer_K,90.0,152.3091
Fer_K,36.0,-35.74353
Fer_K,30.0,-46.726093
Fer_K,72.0,194.68596
Fer_K,67.5,191.22751
Fer_K,81.0,179.03484
Fer_K,75.0,169.2175
Fer_K,82.5,176.1872
Fer_K,30.0,-51.131786
Fer_K,90.0,154.64186
Fer_K,85.92675,160.30437
Fer_K,41.25,-61.919792
Fer_K,90.0,154.64186
Fer_K,47.25,-55.95729
Fer_K,60.0,16.782368
Fer_K,85.92675,171.70073
Fer_K,117.0,-304.1618
Fer_K,54.0,7.8099794
Fer_K,60.0,-10.275738
Fer_K,90.0,145.55792
Fer_K,40.5,-44.40172
Fer_K,106.875,-308.17764
Fer_K,97.5,-64.76704
Fer_K,82.5,176.1872
Fer_K,36.0,-35.759216
Fer_K,82.5,181.3061
Fer_K,128.25,-298.22485
Fer_K,60.0,12.966348
Fer_K,128.25,-298.22485
Fer_K,40.5,-60.362976
Fer_K,67.5,200.24997
Fer_K,90.0,160.77567
Fer_K,54.0,0.23300552
Fer_K,67.5,178.09366
Fer_K,85.92675,175.63773
Fer_K,85.92675,169.01793
Fer_K,108.0,-325.65918
Fer_K,90.0,144.80939
Fer_K,85.92675,169.01793
Fer_K,36.0,-30.97475
Fer_K,90.0,152.3091
Fer_K,90.0,159.16444
Fer_K,45.0,-39.19187
Fer_K,123.75,-298.22485
Fer_K,90.0,153.19318
Fer_K,75.0,202.32353
Fer_K,30.0,-50.100407
Fer_K,82.5,194.7628
Fer_K,82.5,176.1872
