feature,x_value,shap_value
Fer_N,189.0,87.33996
Fer_N,128.25,-59.506832
Fer_N,246.645,-37.87807
Fer_N,165.0,101.30781
Fer_N,202.5,89.50703
Fer_N,195.0,95.76152
Fer_N,150.0,-50.7934
Fer_N,275.625,-143.90149
Fer_N,252.0,-107.25207
Fer_N,128.25,-59.506832
Fer_N,217.5,144.3229
Fer_N,253.5,-132.71053
Fer_N,165.0,109.930084
Fer_N,148.5,-96.59128
Fer_N,231.0,79.32034
Fer_N,252.0,-147.87515
Fer_N,325.5,-115.06153
Fer_N,253.5,-135.7486
Fer_N,189.0,88.60183
Fer_N,325.5,-120.66223
Fer_N,206.25,101.141846
Fer_N,326.25,-95.63696
Fer_N,225.0,161.05591
Fer_N,252.0,-142.27446
Fer_N,132.0,-96.272514
Fer_N,253.5,-128.5418
Fer_N,210.0,145.03366
Fer_N,132.0,-98.22415
Fer_N,217.5,176.18086
Fer_N,231.0,66.709145
Fer_N,175.5,61.20912
Fer_N,250.125,-11.367296
Fer_N,217.5,181.85765
Fer_N,204.0,131.09741
Fer_N,150.0,-50.311745
Fer_N,198.0,97.06778
Fer_N,148.5,-92.30227
Fer_N,175.5,59.597504
Fer_N,325.5,-120.66223
Fer_N,206.25,101.141846
Fer_N,150.0,-46.062626
Fer_N,195.0,91.4602
Fer_N,234.3,49.182087
Fer_N,105.0,-105.77839
Fer_N,195.0,90.971405
Fer_N,182.25,63.387657
Fer_N,132.0,-92.554344
Fer_N,234.3,53.6794
Fer_N,253.5,-132.71053
Fer_N,252.0,-104.0494
Fer_N,132.0,-87.29907
Fer_N,217.5,176.18086
Fer_N,189.0,80.929085
Fer_N,279.375,-137.02888
Fer_N,253.5,-137.18057
Fer_N,206.25,101.141846
Fer_N,204.0,126.58433
Fer_N,206.25,103.60018
Fer_N,128.25,-59.506832
Fer_N,210.0,143.27135
Fer_N,128.25,-59.506832
Fer_N,189.0,98.55864
Fer_N,148.5,-65.63198
Fer_N,225.0,166.65659
Fer_N,252.0,-107.08373
Fer_N,148.5,-69.91183
Fer_N,234.3,54.10716
Fer_N,234.3,48.50646
Fer_N,252.0,-147.07355
Fer_N,217.5,174.30177
Fer_N,234.3,48.50646
Fer_N,204.0,126.55772
Fer_N,217.5,179.90248
Fer_N,225.0,158.76971
Fer_N,217.5,139.59361
Fer_N,123.75,-59.506832
Fer_N,195.0,91.4602
Fer_N,165.0,97.90559
Fer_N,150.0,-45.521687
Fer_N,181.5,61.245934
Fer_N,206.25,101.141846
