feature,x_value,shap_value
Fer_P,40.5,-59.477135
Fer_P,128.25,-128.24278
Fer_P,42.525,-24.104115
Fer_P,75.0,316.96478
Fer_P,40.5,-25.145576
Fer_P,37.5,-144.91803
Fer_P,30.0,-140.9783
Fer_P,37.5,-121.1178
Fer_P,54.0,277.94385
Fer_P,128.25,-126.48
Fer_P,37.5,-130.56184
Fer_P,117.0,-138.93321
Fer_P,75.0,265.48004
Fer_P,54.0,291.01196
Fer_P,99.0,-55.606194
Fer_P,108.0,-89.61698
Fer_P,37.5,-57.59073
Fer_P,136.5,-129.28369
Fer_P,40.5,-49.681496
Fer_P,37.5,-113.46919
Fer_P,82.5,81.20921
Fer_P,116.25,-127.63774
Fer_P,45.0,1.972352
Fer_P,108.0,-139.16368
Fer_P,48.0,-3.8824937
Fer_P,117.0,-138.93321
Fer_P,90.0,32.609627
Fer_P,48.0,43.149803
Fer_P,75.0,325.25372
Fer_P,99.0,-54.701057
Fer_P,87.75,-58.083626
Fer_P,43.125,-24.601187
Fer_P,75.0,325.25372
Fer_P,24.0,-90.205246
Fer_P,30.0,-144.30974
Fer_P,90.0,-14.558751
Fer_P,54.0,281.27255
Fer_P,87.75,-46.116238
Fer_P,37.5,-113.46919
Fer_P,82.5,81.20921
Fer_P,30.0,-143.94862
Fer_P,90.0,-25.07544
Fer_P,47.59125,66.42674
Fer_P,45.0,-42.165833
Fer_P,90.0,-25.07544
Fer_P,40.5,-105.92109
Fer_P,48.0,0.07166052
Fer_P,47.59125,68.85874
Fer_P,117.0,-138.93321
Fer_P,54.0,280.15097
Fer_P,48.0,30.30041
Fer_P,75.0,325.25372
Fer_P,40.5,-50.042618
Fer_P,37.5,-133.84222
Fer_P,136.5,-97.101906
Fer_P,82.5,81.20921
Fer_P,24.0,-87.490234
Fer_P,82.5,67.29674
Fer_P,128.25,-128.24278
Fer_P,90.0,30.846855
Fer_P,128.25,-128.24278
Fer_P,40.5,-105.55996
Fer_P,54.0,303.4623
Fer_P,45.0,57.850826
Fer_P,54.0,228.20616
Fer_P,54.0,257.6253
Fer_P,47.59125,78.75838
Fer_P,47.59125,34.450405
Fer_P,108.0,-140.73561
Fer_P,75.0,276.68195
Fer_P,47.59125,36.75997
Fer_P,24.0,-64.494606
Fer_P,75.0,325.25372
Fer_P,45.0,52.712467
Fer_P,37.5,-121.021255
Fer_P,123.75,-126.48
Fer_P,90.0,-29.415241
Fer_P,60.0,268.19955
Fer_P,30.0,-140.9783
Fer_P,66.0,329.74445
Fer_P,82.5,81.20921
