feature,x_value,shap_value
Irr_Count,1,108.797424
Irr_Count,1,116.808815
Irr_Count,2,91.86872
Irr_Count,2,144.81667
Irr_Count,1,116.51311
Irr_Count,1,80.85691
Irr_Count,1,74.76652
Irr_Count,1,81.90802
Irr_Count,2,134.49742
Irr_Count,1,112.22876
Irr_Count,3,98.89316
Irr_Count,0,-293.11652
Irr_Count,2,116.49318
Irr_Count,1,108.998886
Irr_Count,1,71.48161
Irr_Count,1,73.65281
Irr_Count,1,101.70145
Irr_Count,0,-270.06302
Irr_Count,1,103.200584
Irr_Count,1,78.81529
Irr_Count,2,104.29219
Irr_Count,0,-278.50146
Irr_Count,1,89.76161
Irr_Count,1,90.94808
Irr_Count,0,-225.7368
Irr_Count,0,-293.11652
Irr_Count,1,78.11682
Irr_Count,1,111.6258
Irr_Count,2,150.83138
Irr_Count,2,93.71103
Irr_Count,1,113.33537
Irr_Count,1,72.3519
Irr_Count,2,150.83138
Irr_Count,0,-311.04306
Irr_Count,2,87.71829
Irr_Count,2,135.01483
Irr_Count,1,92.70641
Irr_Count,1,103.10215
Irr_Count,1,78.81529
Irr_Count,2,104.29219
Irr_Count,1,74.76652
Irr_Count,0,-312.5825
Irr_Count,0,-293.32614
Irr_Count,0,-223.8242
Irr_Count,0,-317.36407
Irr_Count,1,79.93463
Irr_Count,0,-233.5489
Irr_Count,0,-303.33527
Irr_Count,0,-293.11652
Irr_Count,2,129.0342
Irr_Count,1,82.31784
Irr_Count,2,150.83138
Irr_Count,1,108.797424
Irr_Count,3,101.43813
Irr_Count,0,-220.54137
Irr_Count,2,104.29219
Irr_Count,0,-311.04306
Irr_Count,2,114.1429
Irr_Count,1,111.846245
Irr_Count,1,77.73431
Irr_Count,1,116.808815
Irr_Count,1,83.21534
Irr_Count,1,103.15237
Irr_Count,1,121.525314
Irr_Count,2,96.99261
Irr_Count,1,69.527626
Irr_Count,0,-308.03287
Irr_Count,0,-230.86987
Irr_Count,1,91.94099
Irr_Count,2,119.06769
Irr_Count,0,-250.00902
Irr_Count,1,106.781746
Irr_Count,2,150.83138
Irr_Count,1,115.32148
Irr_Count,1,72.98165
Irr_Count,1,112.22876
Irr_Count,0,-302.65738
Irr_Count,1,86.979164
Irr_Count,1,74.76652
Irr_Count,1,112.51736
Irr_Count,2,104.29219
