feature,x_value,shap_value
Irr_Elec,332.55,52.631256
Irr_Elec,401.85,105.38173
Irr_Elec,525.0,140.46074
Irr_Elec,600.0,267.17786
Irr_Elec,300.0,140.12508
Irr_Elec,407.55,-28.834158
Irr_Elec,244.5,138.20512
Irr_Elec,199.65,113.63399
Irr_Elec,675.0,173.91325
Irr_Elec,401.85,97.785
Irr_Elec,1231.8,62.249977
Irr_Elec,0.0,-310.56778
Irr_Elec,600.0,210.48808
Irr_Elec,309.75,51.548237
Irr_Elec,521.7,91.80706
Irr_Elec,412.05,-38.897003
Irr_Elec,300.0,103.45624
Irr_Elec,0.0,-236.0084
Irr_Elec,254.7,134.82645
Irr_Elec,300.0,84.365906
Irr_Elec,900.0,144.18802
Irr_Elec,0.0,-347.0542
Irr_Elec,300.0,109.72731
Irr_Elec,412.05,-1.1383438
Irr_Elec,0.0,-230.66975
Irr_Elec,0.0,-328.0355
Irr_Elec,276.0,195.21931
Irr_Elec,825.0,158.10283
Irr_Elec,600.0,270.1172
Irr_Elec,521.7,94.22309
Irr_Elec,300.0,139.69044
Irr_Elec,576.9,130.05524
Irr_Elec,600.0,274.83035
Irr_Elec,0.0,-324.2407
Irr_Elec,326.1,-36.06208
Irr_Elec,600.0,263.94946
Irr_Elec,179.4,-42.05799
Irr_Elec,300.0,145.78157
Irr_Elec,300.0,81.33583
Irr_Elec,900.0,144.18802
Irr_Elec,244.575,116.34894
Irr_Elec,0.0,-335.36502
Irr_Elec,0.0,-288.42575
Irr_Elec,0.0,-276.87506
Irr_Elec,0.0,-330.78812
Irr_Elec,355.8,-9.425959
Irr_Elec,0.0,-226.16211
Irr_Elec,0.0,-285.29993
Irr_Elec,0.0,-310.56778
Irr_Elec,600.0,258.91565
Irr_Elec,305.85,-12.509319
Irr_Elec,600.0,270.1172
Irr_Elec,380.55,29.508907
Irr_Elec,1305.45,71.39159
Irr_Elec,0.0,-230.4385
Irr_Elec,900.0,144.18802
Irr_Elec,0.0,-340.37866
Irr_Elec,900.0,152.62694
Irr_Elec,401.85,105.38173
Irr_Elec,241.8,119.85927
Irr_Elec,401.85,105.38173
Irr_Elec,293.55,189.2355
Irr_Elec,388.95,83.713974
Irr_Elec,300.0,141.86032
Irr_Elec,600.0,191.58565
Irr_Elec,1222.8,98.37721
Irr_Elec,0.0,-280.03754
Irr_Elec,0.0,-204.86874
Irr_Elec,412.05,27.328491
Irr_Elec,600.0,206.83095
Irr_Elec,0.0,-212.5935
Irr_Elec,420.0,193.73293
Irr_Elec,600.0,272.5419
Irr_Elec,300.0,149.84344
Irr_Elec,691.35,48.301567
Irr_Elec,401.85,97.785
Irr_Elec,0.0,-332.26324
Irr_Elec,276.9,203.55595
Irr_Elec,81.45,-49.548508
Irr_Elec,825.0,151.78139
Irr_Elec,900.0,144.18802
