feature,x_value,shap_value
Pest_Cost,384.75,17.527884
Pest_Cost,150.0,-55.592197
Pest_Cost,804.75,77.06847
Pest_Cost,371.25,27.521212
Pest_Cost,0.0,-60.608494
Pest_Cost,401.25,-22.075542
Pest_Cost,498.0,41.45909
Pest_Cost,812.85,112.1304
Pest_Cost,0.0,-52.321587
Pest_Cost,150.0,-52.237926
Pest_Cost,507.0,30.388775
Pest_Cost,165.0,-96.27357
Pest_Cost,371.25,17.140116
Pest_Cost,270.0,-19.459158
Pest_Cost,588.75,69.8561
Pest_Cost,600.0,69.27475
Pest_Cost,270.0,-17.178064
Pest_Cost,300.0,67.98475
Pest_Cost,684.75,124.323166
Pest_Cost,270.0,-22.834793
Pest_Cost,172.5,-106.03624
Pest_Cost,0.0,-92.57753
Pest_Cost,0.0,-51.58856
Pest_Cost,600.0,80.973
Pest_Cost,750.0,129.36545
Pest_Cost,165.0,-98.12338
Pest_Cost,507.0,67.763794
Pest_Cost,90.0,-56.350323
Pest_Cost,300.0,71.80398
Pest_Cost,588.75,72.28042
Pest_Cost,0.0,-60.723736
Pest_Cost,691.95,90.741035
Pest_Cost,300.0,74.03385
Pest_Cost,255.0,-89.522446
Pest_Cost,498.0,41.45909
Pest_Cost,371.25,25.394789
Pest_Cost,684.75,124.03398
Pest_Cost,0.0,-88.190735
Pest_Cost,270.0,-17.548464
Pest_Cost,172.5,-106.03624
Pest_Cost,498.0,41.45909
Pest_Cost,480.0,54.62465
Pest_Cost,741.15,95.053635
Pest_Cost,0.0,-88.65958
Pest_Cost,480.0,54.62465
Pest_Cost,684.75,115.132935
Pest_Cost,750.0,129.76996
Pest_Cost,741.15,106.86778
Pest_Cost,165.0,-96.27357
Pest_Cost,0.0,-41.500206
Pest_Cost,269.25,-102.14677
Pest_Cost,300.0,71.80398
Pest_Cost,684.75,124.72768
Pest_Cost,548.85,46.26802
Pest_Cost,120.0,-72.1541
Pest_Cost,172.5,-106.03624
Pest_Cost,255.0,-98.79758
Pest_Cost,172.5,-89.55971
Pest_Cost,150.0,-52.237926
Pest_Cost,401.25,-12.168388
Pest_Cost,150.0,-55.592197
Pest_Cost,684.75,115.132935
Pest_Cost,684.75,115.30499
Pest_Cost,0.0,-62.53162
Pest_Cost,0.0,-41.378525
Pest_Cost,269.25,-55.894905
Pest_Cost,741.15,107.1091
Pest_Cost,741.15,97.91888
Pest_Cost,600.0,72.02377
Pest_Cost,300.0,60.105736
Pest_Cost,741.15,101.45237
Pest_Cost,255.0,-60.992195
Pest_Cost,300.0,74.03385
Pest_Cost,0.0,-80.31891
Pest_Cost,428.7,-14.33275
Pest_Cost,150.0,-52.237926
Pest_Cost,480.0,45.67543
Pest_Cost,597.0,116.00595
Pest_Cost,513.0,77.11698
Pest_Cost,90.0,-60.462788
Pest_Cost,172.5,-109.39052
