feature,x_value,shap_value
Pest_Count,1,230.0329
Pest_Count,1,259.47745
Pest_Count,2,-14.570066
Pest_Count,1,256.51523
Pest_Count,0,265.2296
Pest_Count,1,167.33192
Pest_Count,2,31.327246
Pest_Count,2,35.801212
Pest_Count,0,261.6481
Pest_Count,1,259.47745
Pest_Count,2,-12.27202
Pest_Count,4,-319.41647
Pest_Count,1,196.7037
Pest_Count,1,227.73538
Pest_Count,2,-0.7647488
Pest_Count,3,-257.84735
Pest_Count,1,246.32053
Pest_Count,2,15.926999
Pest_Count,2,27.616821
Pest_Count,1,185.15659
Pest_Count,3,-285.35468
Pest_Count,0,191.57278
Pest_Count,0,191.22385
Pest_Count,3,-304.18213
Pest_Count,2,18.645067
Pest_Count,4,-310.49228
Pest_Count,2,9.922239
Pest_Count,3,-325.79532
Pest_Count,1,266.24365
Pest_Count,2,3.8972003
Pest_Count,0,267.38794
Pest_Count,2,-0.7647488
Pest_Count,1,264.84073
Pest_Count,2,43.97152
Pest_Count,2,13.633281
Pest_Count,1,226.44678
Pest_Count,2,24.224438
Pest_Count,0,238.44861
Pest_Count,1,185.15659
Pest_Count,3,-285.35468
Pest_Count,2,33.709625
Pest_Count,3,-313.5723
Pest_Count,2,12.068826
Pest_Count,0,119.67644
Pest_Count,3,-313.5723
Pest_Count,2,3.2351649
Pest_Count,2,22.7121
Pest_Count,2,24.82832
Pest_Count,4,-319.41647
Pest_Count,0,261.6481
Pest_Count,1,173.04662
Pest_Count,1,266.24365
Pest_Count,2,21.522621
Pest_Count,1,202.79025
Pest_Count,2,10.63649
Pest_Count,3,-285.35468
Pest_Count,2,35.085373
Pest_Count,3,-323.2625
Pest_Count,1,259.47745
Pest_Count,2,19.919117
Pest_Count,1,259.47745
Pest_Count,2,10.664618
Pest_Count,2,31.920742
Pest_Count,0,264.32297
Pest_Count,0,185.15659
Pest_Count,1,153.8939
Pest_Count,2,8.991517
Pest_Count,2,-2.286884
Pest_Count,3,-319.79953
Pest_Count,1,191.87048
Pest_Count,2,2.1027498
Pest_Count,2,24.550732
Pest_Count,1,264.84073
Pest_Count,0,241.27803
Pest_Count,2,-0.15721965
Pest_Count,1,259.47745
Pest_Count,3,-313.5723
Pest_Count,2,21.062735
Pest_Count,2,33.709625
Pest_Count,3,-286.71353
Pest_Count,3,-285.35468
