feature,x_value,shap_value
Sow_DOY,177,-176.60722
Sow_DOY,169,-84.220215
Sow_DOY,160,232.26442
Sow_DOY,169,-84.92415
Sow_DOY,169,-68.58468
Sow_DOY,166,53.181473
Sow_DOY,165,100.15696
Sow_DOY,166,67.26707
Sow_DOY,162,268.19583
Sow_DOY,168,-90.98605
Sow_DOY,161,241.71767
Sow_DOY,166,75.79175
Sow_DOY,164,269.68262
Sow_DOY,169,-81.13036
Sow_DOY,169,-67.48852
Sow_DOY,166,47.044044
Sow_DOY,162,253.62764
Sow_DOY,166,78.2917
Sow_DOY,176,-179.87654
Sow_DOY,162,231.67226
Sow_DOY,174,-174.33185
Sow_DOY,185,-202.16528
Sow_DOY,171,-74.907906
Sow_DOY,166,74.7512
Sow_DOY,174,-180.12422
Sow_DOY,167,-4.3446765
Sow_DOY,168,-64.47182
Sow_DOY,169,-67.3585
Sow_DOY,159,282.47733
Sow_DOY,162,239.84085
Sow_DOY,166,82.12289
Sow_DOY,170,-64.69394
Sow_DOY,163,282.47733
Sow_DOY,171,-102.20569
Sow_DOY,163,252.36269
Sow_DOY,174,-185.13586
Sow_DOY,172,-189.80392
Sow_DOY,172,-172.73502
Sow_DOY,162,225.92049
Sow_DOY,174,-174.33185
Sow_DOY,163,253.02473
Sow_DOY,169,-82.307236
Sow_DOY,163,266.9243
Sow_DOY,185,-193.33887
Sow_DOY,169,-82.307236
Sow_DOY,173,-156.71425
Sow_DOY,171,-89.48014
Sow_DOY,171,-95.43476
Sow_DOY,166,75.79175
Sow_DOY,160,259.37857
Sow_DOY,174,-192.05556
Sow_DOY,159,282.47733
Sow_DOY,171,-98.55628
Sow_DOY,166,55.83564
Sow_DOY,167,-16.275707
Sow_DOY,174,-174.33185
Sow_DOY,171,-102.20569
Sow_DOY,169,-61.04319
Sow_DOY,169,-84.220215
Sow_DOY,170,-69.004745
Sow_DOY,169,-84.220215
Sow_DOY,172,-156.71425
Sow_DOY,166,84.89421
Sow_DOY,171,-92.30965
Sow_DOY,161,240.48866
Sow_DOY,167,3.8292851
Sow_DOY,167,8.196297
Sow_DOY,169,-63.54345
Sow_DOY,166,74.7512
Sow_DOY,161,254.77013
Sow_DOY,169,-77.69609
Sow_DOY,171,-78.73406
Sow_DOY,163,282.47733
Sow_DOY,172,-181.13812
Sow_DOY,169,-63.965927
Sow_DOY,168,-90.98605
Sow_DOY,169,-82.307236
Sow_DOY,166,54.158783
Sow_DOY,166,54.232853
Sow_DOY,171,-83.8486
Sow_DOY,174,-174.33185
