feature,importance,method
Rad,2695.0149066976014,coef_abs
Sow_DOY,1309.2179995558201,coef_abs
Region,1160.5706777284695,coef_abs
Pest_Count,738.8048017259025,coef_abs
Density,551.3646584130709,coef_abs
Pest_Cost,486.89393413705716,coef_abs
RH,315.2433240730729,coef_abs
Fer_N,305.6740010053881,coef_abs
Irr_Drip,292.80594397724326,coef_abs
Irr_Count,288.10302835269886,coef_abs
Wind,277.2488320234584,coef_abs
Lodging,214.41510093889437,coef_abs
Precip,187.71808218274612,coef_abs
Irr_Sprinkler,175.2394871492974,coef_abs
Fer_P,166.63405202110317,coef_abs
Fer_Count,164.12704601256752,coef_abs
Fer_K,149.57255511105598,coef_abs
Irr_None,101.44972723346457,coef_abs
Irr_Flood,100.0973300251388,coef_abs
Irr_Elec,89.55188070299606,coef_abs
