feature,importance,method
Density,0.16275057163891424,model_native
Rad,0.14118617405521722,model_native
Precip,0.1259570747793752,model_native
RH,0.07539035584818249,model_native
Sow_DOY,0.060845840496724785,model_native
Fer_N,0.0557211484636448,model_native
Irr_Elec,0.05491434377813177,model_native
Fer_P,0.052622630805601006,model_native
Pest_Count,0.05227663948572477,model_native
Wind,0.04700183683632618,model_native
Fer_K,0.036913300139155156,model_native
Pest_Cost,0.036575411684660046,model_native
Irr_Count,0.03436098533755743,model_native
Irr_Drip,0.03329944250341125,model_native
Lodging,0.012347415422333531,model_native
Irr_Sprinkler,0.006092555033348909,model_native
Region,0.0057662430991168145,model_native
Irr_Flood,0.0026809091729974722,model_native
Irr_None,0.00207046868388428,model_native
Fer_Count,0.001226652735692765,model_native
