feature,importance,method
Irr_Drip,0.098871626,model_native
Density,0.082791194,model_native
Sow_DOY,0.075819306,model_native
Irr_Count,0.074509084,model_native
Pest_Count,0.069295876,model_native
Wind,0.06697543,model_native
RH,0.065679274,model_native
Irr_Elec,0.059703227,model_native
Rad,0.05884664,model_native
Precip,0.058589518,model_native
Fer_P,0.054536887,model_native
Lodging,0.052611586,model_native
Fer_N,0.042799834,model_native
Irr_Sprinkler,0.04257333,model_native
Fer_K,0.041609466,model_native
Pest_Cost,0.028761443,model_native
Region,0.026026353,model_native
Fer_Count,0.0,model_native
Irr_Flood,0.0,model_native
Irr_None,0.0,model_native
